"branch","category","subcategory","item","price","description"
"birmingham","Appetisers, Chat & Tawa","","Poppadoms","£1.50",""
"birmingham","Appetisers, Chat & Tawa","","Chutney Trays: Mango Mint & Tomato Garlic","£3.50",""
"birmingham","Appetisers, Chat & Tawa","","Desi Style Chicken Lollypop","£14","with Tamarind & Mint Chutney (g) (d)"
"birmingham","Appetisers, Chat & Tawa","","King Prawn with Mango & Cucumber Salsa (g) (d)","£16",""
"birmingham","Appetisers, Chat & Tawa","","Papri Chat","£11","with Tangy Chutney, Sweet Yogurt Topped with Sev (v) (g) (d)"
"birmingham","Appetisers, Chat & Tawa","","Pani Puri","£9","with Puffed Crispy Ball, Spicy Mint & Coriander Water (v) (g) (d)"
"birmingham","Appetisers, Chat & Tawa","","Homemade Chicken Samosa","£11","with Tamarind & Mint Chutney (g) (d)"
"birmingham","Appetisers, Chat & Tawa","","Organic Salmon Tikki","£16","with Caramel Roasted Pineapple Relish (d)"
"birmingham","Appetisers, Chat & Tawa","","Onion & Mix Pepper Bajee","£9",""
"birmingham","Appetisers, Chat & Tawa","","Aloo and Asparagus Tikki","£9",""
"birmingham","Appetisers, Chat & Tawa","","Beetroot Chop","£9",""
"birmingham","Tandoor, Grill & Sigri","","Varanasi Paneer Tikka","£14","with Coconut & Curry Leaf (v) (n) (d)"
"birmingham","Tandoor, Grill & Sigri","","Kasturi Chicken Tikka","£15","with Caramelised Pineapple Chutney (d)"
"birmingham","Tandoor, Grill & Sigri","","Nawabi Spiced Lamb Seekh","£16","with Cumin Mint Chutney (d)"
"birmingham","Tandoor, Grill & Sigri","","Tandoori Lamb Chops","£17","with Pickled Onion"
"birmingham","Tandoor, Grill & Sigri","","Bhatti Ka Boti Kebab","£16","Textures of Beetroot (d)"
"birmingham","Tandoor, Grill & Sigri","","Tandoori Wild King Prawn","£17","with spicy beetroot ketchup (d)"
"birmingham","Tandoor, Grill & Sigri","","Tandoori Ratan, Sharing Kebab Platter","£27","2 Chicken, Lamb Sheekh, 2 Boti"
"birmingham","Tandoor, Grill & Sigri","","Samundri Khazana Sharing Platter, 4 dishes from the Sea","£49","(2 pieces each) (Scallops, Salmon & King Prawn) (d) (g)"
"birmingham","Tandoor, Grill & Sigri","","Maharaja Platter (4 guests, 4 pieces each)","£59","(Skeekh Kebab, Murgh Lasooni Tikka, Veg Samosa, Paneer Tikka)"
"birmingham","Mains (on a plate)","","Nizami Vegetable Kofta Curry (v) + extra piece","£15",""
"birmingham","Mains (on a plate)","","Karahi Paneer (v)","£17",""
"birmingham","Mains (on a plate)","","Paneer Tikka Masala (v) (n) (d)","£17",""
"birmingham","Mains (on a plate)","","Murg Masala","£24","with Tomato & Fenugreek Sauce (n) (d)"
"birmingham","Mains (on a plate)","","Chill Chicken in Black Pepper & Chilli Garlic (g)","£24",""
"birmingham","Mains (on a plate)","","Delhi Style Classic Tandoori Chicken, served with Salad (d)","£22",""
